ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
22143,Emergency physician,PROFESSIONALS,6575,6131,7185,0.4636,0.9554,0.4502,0.8424,0.0174,very_low,0.1994,moderate,ai_leveraged,medium,0.6333,submajor_fallback
21496,Energy engineer,PROFESSIONALS,12425,7883,20000,0.5841,0.6783,0.7479,0.7382,0.1387,low,0.2963,moderate,ai_leveraged,high,0.7667,direct
25113,Enterprise/Solution architect,PROFESSIONALS,12137,7950,16737,0.8128,0.4439,0.7169,0.7491,0.3386,high,0.2586,moderate,mixed,medium,0.7000,direct
21430,Environmental engineer,PROFESSIONALS,5710,4963,7127,0.7849,0.8663,0.6025,0.7891,0.0828,low,0.4097,high,ai_leveraged,high,0.9333,direct
21331,Environmental officer (environmental protection),PROFESSIONALS,7210,5500,11550,0.7742,0.7647,0.6313,0.7790,0.1419,low,0.3738,high,ai_leveraged,high,0.7085,direct
22632,Environmental officer (public health),PROFESSIONALS,8752,6528,11000,0.8585,0.9100,0.6049,0.7883,0.0609,low,0.4726,high,ai_leveraged,high,0.7667,direct
24232,Executive search consultant,PROFESSIONALS,5709,4750,8000,0.8897,0.6123,0.4991,0.8253,0.2847,moderate,0.2719,moderate,mixed,high,0.7482,direct
21631,Fashion designer,PROFESSIONALS,3500,2552,4868,0.6028,0.6907,0.5051,0.8232,0.1535,moderate,0.2103,moderate,ai_leveraged,medium,0.6708,direct
24131,"Financial analyst (e.g. equities analyst, credit analyst, investment research analyst)",PROFESSIONALS,7500,5460,10784,0.9714,0.3119,0.7517,0.7369,0.4925,high,0.2278,moderate,mixed,high,0.8667,direct
24135,Financial product structurer,PROFESSIONALS,12321,8120,17053,0.9714,0.3119,0.8483,0.7031,0.4699,high,0.2570,moderate,mixed,high,0.8667,direct
24121,Financial/Investment adviser (e.g. relationship manager),PROFESSIONALS,8000,5225,13165,0.6030,0.5927,0.8352,0.7077,0.1738,moderate,0.2985,moderate,ai_leveraged,high,0.9333,direct
21723,Flying instructor (except air force),PROFESSIONALS,20000,8050,30000,0.2225,0.9813,0.7734,0.7293,0.0030,very_low,0.1688,moderate,ai_leveraged,high,0.7446,direct
21454,Food and drink technologist,PROFESSIONALS,4261,3187,6520,0.7028,0.6043,0.6811,0.7616,0.2118,moderate,0.2893,moderate,ai_leveraged,high,0.9333,direct
24152,Foreign exchange broker,PROFESSIONALS,19750,15010,27266,0.9216,0.3387,0.7669,0.7316,0.4459,high,0.2394,moderate,mixed,high,0.8228,direct
24142,Foreign exchange dealer,PROFESSIONALS,13583,8863,20000,0.9542,0.4109,0.7369,0.7421,0.4172,high,0.2889,moderate,mixed,high,0.7503,direct
