ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,confidence_level,confidence_score,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
21311,Biologist,PROFESSIONALS,8352,6704,10202,2.5,estimated_sg_submajor,derived_from_official_sg,1.13,external_proxy,0.8185,0.6720,0.5639,0.8026,0.2155,moderate,0.3102,low,ai_leveraged,true,0.3003,false,false,high,0.7000,submajor_fallback,University Degree,external_proxy,false,false,false,false
21491,Biomedical engineer,PROFESSIONALS,5346,4171,7209,2.5,estimated_sg_submajor,derived_from_official_sg,2.22,external_proxy,0.5355,0.6783,0.5023,0.8242,0.1420,low,0.1824,very_low,ai_leveraged,true,-0.0524,false,false,high,0.8333,direct,University Degree,external_proxy,false,strict,false,false
21610,Building architect,PROFESSIONALS,6798,5250,10366,2.5,estimated_sg_submajor,derived_from_official_sg,1.02,external_proxy,0.4867,0.6702,0.5935,0.7923,0.1272,low,0.1936,very_low,ai_leveraged,true,-0.2907,false,false,high,0.8280,direct,University Degree,external_proxy,false,false,false,false
21422,Building construction engineer,PROFESSIONALS,4800,4000,6000,2.5,estimated_sg_submajor,derived_from_official_sg,1,external_proxy,0.6836,0.5357,0.4451,0.8442,0.2680,moderate,0.1630,very_low,mixed,true,-0.3375,false,false,high,0.8333,direct,University Degree,external_proxy,false,strict,false,false
24213,Business and financial project management professional,PROFESSIONALS,7693,5500,11006,5.3,estimated_sg_submajor,derived_from_official_sg,15.05,external_proxy,0.7598,0.7166,0.6324,0.7787,0.1677,moderate,0.3443,low,ai_leveraged,true,-0.1624,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,false,false,false
24212,Business consultant,PROFESSIONALS,8662,4095,11875,5.3,estimated_sg_submajor,derived_from_official_sg,15.05,external_proxy,0.7598,0.7166,0.7087,0.7520,0.1619,moderate,0.3858,low,ai_leveraged,true,-0.1624,false,false,high,0.8333,direct,Graduate Degree,external_proxy,false,false,false,false
24122,Business valuer,PROFESSIONALS,9708,5200,16560,5.3,estimated_sg_submajor,derived_from_official_sg,5.85,external_proxy,0.7454,0.5927,0.8129,0.7155,0.2172,moderate,0.3592,low,ai_leveraged,true,0.1056,prefix,false,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
22132,Cardiothoracic surgeon,PROFESSIONALS,6294,5938,6882,1.8,estimated_sg_submajor,derived_from_official_sg,0.18,external_proxy,0.2367,0.9554,0.4377,0.8468,0.0089,very_low,0.0990,very_low,stable,true,-0.3485,false,false,high,0.7000,submajor_fallback,Graduate Degree,external_proxy,false,strict,false,false
26375,Career coach (counselling),PROFESSIONALS,4415,3826,6630,1.9,estimated_sg_submajor,derived_from_official_sg,5.27,external_proxy,0.5752,0.8877,0.4809,0.8317,0.0537,low,0.2456,low,ai_leveraged,true,-0.1401,false,false,high,0.7030,direct,Graduate Degree,external_proxy,false,false,false,false
21130,Chemist,PROFESSIONALS,6357,4500,11430,2.5,estimated_sg_submajor,derived_from_official_sg,0.67,external_proxy,0.6383,0.7308,0.6228,0.7820,0.1344,low,0.2905,low,ai_leveraged,true,0.2141,false,false,medium,0.6442,direct,Graduate Degree,external_proxy,false,false,false,false
